VCC_H I2C_SuccessRate
0.65035 1
0.70032 1
0.750291 1
0.800262 1
0.850232 1
0.900203 0.99
0.950174 0.97
1.00014 0.06
1.05012 0.22
1.10009 0.71
1.15006 0.95
1.20003 0.97
1.25058 0.71
1.30055 0.95
1.35052 0.99
1.40049 1
1.45046 0.97
1.50043 0.95
1.5504 0.99
1.60037 0.97
1.65034 0.96
1.70032 0.99
1.75029 0.95
1.80026 0.99
1.85023 0.99
1.9002 0.99
1.95017 1
2.00014 1
2.05011 1
2.10008 1
2.15005 1
2.20002 0.99
2.25057 1
2.30054 1
2.35052 1
2.40049 1
2.45046 1
2.50043 1
2.5504 1
2.60037 1
2.65034 1
2.70031 1
2.75028 1
2.80025 1
2.85022 1
2.90019 1
2.95016 1
